accountID,userID,accountType,accountName,bankName,currentBalance
1,1,Checking,Phillips-Terry,Phillips-Terry,286.27
2,1,Savings,Chavez Schwartz and Williams,Chavez Schwartz and Williams,2152.3
3,1,Credit Card,Haynes-Jones Savings,Dennis Rodriguez and Pittman,-3921.42
4,1,Investments,Dean LLC Checking,Mcgee Rodriguez and Baxter,74953.9
5,1,Credit Card,Mitchell and Sons Mortgage,Mcgee-Johnson,-512.27
6,1,Credit Card,Alexander Ltd Student Loan,Mason Prince and Shelton,-3084.75
7,2,Checking,Foster Moody and Kelley,Foster Moody and Kelley,4997.84
8,2,Savings,Faulkner Group,Faulkner Group,19128.98
9,2,Credit Card,Bailey Evans and Nelson Investments,Bryant Preston and Valdez,-1661.51
10,3,Checking,Wiley-George,Wiley-George,1557.81
11,3,Savings,Rangel Gilmore and Myers,Rangel Gilmore and Myers,15251.74
12,3,Credit Card,Baxter-Rodriguez Student Loan,Brown-Cole,-3585.99
13,3,Investments,Harris and Sons Investments,Lyons Byrd and Steele,76391.43
14,3,Mortgage,Blevins Jensen and Greer Mortgage,Harris-Gibson,-224744.13
15,4,Checking,Dunlap Rodriguez and Russo,Dunlap Rodriguez and Russo,2863.2
16,4,Savings,Mathis Aguilar and Santiago,Mathis Aguilar and Santiago,19177.38
17,4,Student Loan,Matthews LLC Car Loan,West-Turner,-14480.29
18,4,Student Loan,Hernandez-Dixon Car Loan,Jones Inc,-45609.5
19,4,Student Loan,Stevenson Wilson and Robinson Savings,Perry PLC,-27960.92
20,4,Car Loan,Ramirez Inc Mortgage,Krueger Group,-17249.94
21,5,Checking,Mason-Mcclure,Mason-Mcclure,230.24
22,5,Savings,Phillips-Terry,Phillips-Terry,6085.49
23,5,Investments,Ramsey Baldwin and Bush Mortgage,Hoffman Ltd,6089.38
24,5,Credit Card,Chang-Johnson Car Loan,Ellis Ltd,-1666.76
25,6,Checking,Palmer-Becker,Palmer-Becker,4394.06
26,6,Savings,Luna Becker and Hensley,Luna Becker and Hensley,2214.78
27,7,Checking,Eaton-Hernandez,Eaton-Hernandez,2514.77
28,7,Savings,Payne-Johnson,Payne-Johnson,3667.14
29,7,Car Loan,Campbell Fox and Schneider Student Loan,Brown-Mathews,-20055.45
30,7,Student Loan,Castro Gomez and Watts Checking,Brown and Sons,-39540.12
31,8,Checking,Mason-Mcclure,Mason-Mcclure,2890.91
32,8,Savings,Faulkner Group,Faulkner Group,2441.43
33,8,Car Loan,Miller Webb and Snyder Credit Card,Riley PLC,-27023.61
34,9,Checking,Mathis Aguilar and Santiago,Mathis Aguilar and Santiago,558.24
35,9,Savings,Ramirez-Hanson,Ramirez-Hanson,2529.84
36,9,Investments,Smith Price and Terry Checking,Ingram Inc,40966.1
37,9,Student Loan,Andrade-Morris Car Loan,Davis Wise and Simmons,-21619.42
38,9,Investments,Chang-Johnson Car Loan,Johnson Montgomery and Hayes,10516.54
39,9,Mortgage,Garrett Miller and Moore Savings,Green Group,-75872.76
40,9,Mortgage,Irwin-Beck Mortgage,Santiago Group,-76883.0
