userID,userName,email,password,signUpDate,dateOfBirth,gender,city,state,membershipType,CreditScore
1,hamiltoncarla,karenhernandez@example.com,h09aFhIv(5,2022-09-24,1964-02-11,Female,Laurenshire,New Jersey,Free,679
2,stewartwhitney,chenkristi@example.net,F$879Nxilp,2023-05-25,1993-04-21,Other,North Kiaraborough,Montana,Free,770
3,amandagonzales,qwright@example.net,X$JMSj@q(1,2023-10-06,1956-10-16,Female,Lake Robertville,Oregon,Free,687
4,ifernandez,miguelabbott@example.org,8d83I42l*5,2022-12-14,2000-02-22,Female,West Mathew,Kansas,Free,635
5,mdrake,iford@example.com,%zJKbWYb6^,2022-03-15,2003-07-24,Female,South Isaiahport,Vermont,Premium,774
6,baileyjames,katiewade@example.com,JE8NNP3a5),2022-07-14,1971-12-07,Other,Lake James,Montana,Premium,670
7,dgreen,xsantiago@example.org,ZO1)anWuJ_,2021-12-14,1960-04-28,Other,Waltersborough,Kentucky,Free,718
8,hfinley,thomasmiller@example.net,&5J*Q+kwZw,2023-05-13,1960-12-21,Female,Christophertown,Minnesota,Free,594
9,powersbobby,travisbarker@example.com,&9LE(Fut^7,2022-06-25,1959-04-14,Other,East Ryan,New York,Premium,685
10,lisa04,banderson@example.org,dQu)6N(l%j,2022-11-24,1971-05-09,Male,Tinaborough,Kansas,Free,613
11,charleslarson,nelsonjennifer@example.org,!RVqRwiRx7,2022-07-08,1977-01-23,Other,Port Lisa,Alaska,Premium,753
12,qrusso,hannahgonzales@example.org,I&%1qNoNQ*,2022-04-13,1954-10-13,Male,Michaelberg,Oklahoma,Free,725
13,garrisoncatherine,kennethholden@example.net,)z$3H+ZiHC,2023-06-30,1965-09-13,Male,Colontown,Alaska,Premium,679
14,smalljeffrey,annjoseph@example.net,WG5oNKNcL%,2023-05-17,2002-07-24,Female,Charlesview,North Dakota,Free,744
15,chavezcarol,williamcaldwell@example.com,+w3CDzUwV_,2022-08-20,1992-06-14,Other,Mitchellton,North Carolina,Free,700
16,angela57,andrew39@example.org,yA&cF4Pef%,2023-07-10,1982-04-08,Other,Waltersborough,Kentucky,Free,613
17,danieldavis,nancy05@example.org,0R9GrGo9!),2022-04-17,1953-11-11,Female,Hernandezfort,Vermont,Free,757
18,tylerstephens,martinmiguel@example.net,(pPpvkrm8O,2023-06-15,1973-03-04,Male,Devinborough,Utah,Free,784
19,elizabeth98,bfisher@example.org,*7ND_4LC3f,2023-01-11,1979-07-14,Male,East Amanda,Arkansas,Premium,742
20,michaelwebster,lkane@example.org,K0&CMdu**F,2023-02-28,1974-04-29,Female,Port Ashley,Oregon,Premium,708
21,qmiller,justincordova@example.net,Y4Cj2mRX$k,2022-11-22,1960-08-13,Male,Port Dannyfurt,Oregon,Free,601
22,johnboyer,johnsontyler@example.net,%oAmgwp951,2023-10-29,1981-09-14,Other,Valdezshire,Minnesota,Free,649
23,qwilliams,wsnyder@example.com,)2V+c5Aq+b,2023-04-08,1982-09-06,Other,Carlsonport,Maine,Premium,676
24,khernandez,gina49@example.org,%2$h1+SpHh,2023-05-24,1964-05-14,Male,Christophertown,Minnesota,Premium,747
25,kim25,ipham@example.com,+7KrPWivQd,2022-02-17,2001-08-25,Other,Port Monicachester,North Dakota,Premium,655
26,rachael66,qtaylor@example.net,*6gFqF*2iT,2023-01-13,1958-06-03,Male,Peterbury,Ohio,Free,675
27,ymckenzie,hayleymercado@example.net,!63*Z%wss(,2022-12-17,1993-02-24,Female,South Elizabeth,Oregon,Premium,828
28,whouston,andrea05@example.net,s)q3Ya3_Qb,2022-02-19,1981-03-11,Male,West Marvin,Arkansas,Premium,622
29,sara05,jason53@example.com,^^V1bbGbmp,2022-08-20,1989-06-18,Other,West Charleshaven,Illinois,Free,608
30,leonardmiller,jonathan55@example.net,QvP&wuJY!1,2023-04-21,1961-07-21,Male,Johnsonside,Delaware,Premium,727
31,rachael52,nmiller@example.net,^@5)*QPhvB,2022-05-28,1977-03-05,Female,West Robin,South Carolina,Premium,701
32,aprilmorrison,richardsonchristopher@example.net,+rVU&sEtA4,2023-03-03,1955-01-19,Male,New Angelamouth,Hawaii,Premium,764
33,anthony71,kristine74@example.org,!&yEcU%l5X,2023-04-25,1972-01-23,Female,Lake Eric,Pennsylvania,Premium,588
34,troywatson,brenda48@example.com,_a(DFpNlF7,2022-11-07,1974-12-20,Male,New Tamaramouth,Massachusetts,Free,759
35,robert91,nashjoshua@example.org,!ehgYAkcc5,2023-11-22,2001-04-21,Male,Georgemouth,New York,Free,726
36,rachelstevenson,collinsdawn@example.com,pt4LOcea^_,2023-04-21,1986-04-08,Other,Pamelaborough,Georgia,Free,701
37,elizabeth78,pschultz@example.org,*5w@B0uwSN,2022-05-21,1968-09-24,Female,Lake Jill,Alaska,Free,743
38,danielcarpenter,melissakelly@example.com,!9RYeK(Hyi,2022-02-24,2000-09-27,Other,Mooreside,Washington,Free,750
39,william50,brownraymond@example.org,%)7tVdP8Mq,2023-01-11,1981-12-17,Male,Donaldfort,Minnesota,Premium,662
40,lisaconway,emilycarlson@example.org,6&3Ws@JMQR,2023-11-24,2001-07-12,Female,Robertsshire,Rhode Island,Premium,584
41,joseph02,ronald38@example.org,Ri7W$g3a$0,2022-12-03,1992-07-22,Male,Brandonhaven,Idaho,Free,714
42,vgarcia,michaelreed@example.org,5%TMW!tZ^V,2023-06-30,1959-04-14,Other,Johnsonville,North Carolina,Premium,725
43,bakercarol,liujennifer@example.org,*eQ9xGEm_R,2023-11-07,1967-03-05,Male,Nathanstad,Arkansas,Free,645
